Project-Name,Spec-File-Name,a,b,Stage,TrueSpec?,Type,Comments
geosolutions-it.geoserver-manager,GSLayerEncoder21Test#testMetadata/stage-3-complete/output-GSLayerEncoder21Test#testMetadata-00020.log,a=it.geosolutions.geoserver.rest.encoder.authorityurl.GSAuthorityURLInfoEncoder.getHref()Ljava/lang/String;,b=it.geosolutions.geoserver.rest.encoder.authorityurl.GSAuthorityURLInfoEncoder.getName()Ljava/lang/String;,3,,,
geosolutions-it.geoserver-manager,GSImageMosaicEncoderTest#testAll/stage-3-complete/output-GSImageMosaicEncoderTest#testAll-00017.log,a=it.geosolutions.geoserver.rest.encoder.coverage.GSImageMosaicEncoder.setSUGGESTED_TILE_SIZE(Ljava/lang/String;)V,b=it.geosolutions.geoserver.rest.encoder.coverage.GSImageMosaicEncoder.getSuggestedTileSize()Ljava/lang/String;,3,,,
geosolutions-it.geoserver-manager,GSJP2KEncoderTest#testAll/stage-3-complete/output-GSJP2KEncoderTest#testAll-00018.log,a=it.geosolutions.geoserver.rest.encoder.coverage.GSJP2KEncoder.addSuggestedTileSize(Ljava/lang/String;)V,b=it.geosolutions.geoserver.rest.encoder.coverage.GSJP2KEncoder.getSuggestedTileSize()Ljava/lang/String;,3,,,
geosolutions-it.geoserver-manager,GSJP2KEncoderTest#testAll/stage-3-complete/output-GSJP2KEncoderTest#testAll-00023.log,a=it.geosolutions.geoserver.rest.encoder.coverage.GSJP2KEncoder.setSuggestedTileSize(Ljava/lang/String;)V,b=it.geosolutions.geoserver.rest.encoder.coverage.GSJP2KEncoder.getSuggestedTileSize()Ljava/lang/String;,3,,,
geosolutions-it.geoserver-manager,ResourceDecoderTest#testCoverageDimension/stage-3-complete/output-ResourceDecoderTest#testCoverageDimension-00016.log,a=it.geosolutions.geoserver.rest.encoder.dimensions.GSCoverageDimensionEncoder.setDescription(Ljava/lang/String;)V,b=it.geosolutions.geoserver.rest.encoder.dimensions.GSCoverageDimensionEncoder.getDescription()Ljava/lang/String;,3,,,
geosolutions-it.geoserver-manager,ResourceDecoderTest#testCoverageDimension/stage-3-complete/output-ResourceDecoderTest#testCoverageDimension-00026.log,a=it.geosolutions.geoserver.rest.encoder.dimensions.GSCoverageDimensionEncoder.setDimensionType(Ljava/lang/String;)V,b=it.geosolutions.geoserver.rest.encoder.dimensions.GSCoverageDimensionEncoder.getDimensionTypeName()Ljava/lang/String;,3,,,
geosolutions-it.geoserver-manager,ResourceDecoderTest#testCoverageDimension/stage-2-f1-crash-postcond/output-ResourceDecoderTest#testCoverageDimension-00033.log,a=it.geosolutions.geoserver.rest.encoder.dimensions.GSCoverageDimensionEncoder.setName(Ljava/lang/String;)V,b=it.geosolutions.geoserver.rest.encoder.dimensions.GSCoverageDimensionEncoder.getName()Ljava/lang/String;,2,,,
geosolutions-it.geoserver-manager,GSCoverageEncoderTest#testAll/stage-2-f1-crash-postcond/output-GSCoverageEncoderTest#testAll-00020.log,a=it.geosolutions.geoserver.rest.encoder.dimensions.GSCoverageDimensionEncoder.setName(Ljava/lang/String;)V,b=it.geosolutions.geoserver.rest.encoder.dimensions.GSCoverageDimensionEncoder.setDimensionType(Ljava/lang/String;)V,2,,,
geosolutions-it.geoserver-manager,ResourceDecoderTest#testCoverageDimension/stage-3-complete/output-ResourceDecoderTest#testCoverageDimension-00045.log,a=it.geosolutions.geoserver.rest.encoder.dimensions.GSCoverageDimensionEncoder.setRange(Ljava/lang/String;Ljava/lang/String;)V,b=it.geosolutions.geoserver.rest.encoder.dimensions.GSCoverageDimensionEncoder.getRangeMin()Ljava/lang/String;,3,,,
geosolutions-it.geoserver-manager,ResourceDecoderTest#testCoverageDimension/stage-3-complete/output-ResourceDecoderTest#testCoverageDimension-00054.log,a=it.geosolutions.geoserver.rest.encoder.dimensions.GSCoverageDimensionEncoder.setUnit(Ljava/lang/String;)V,b=it.geosolutions.geoserver.rest.encoder.dimensions.GSCoverageDimensionEncoder.getUnit()Ljava/lang/String;,3,,,
