method-a,method-b,verdict
org.apache.commons.exec.ExecuteWatchdog.cleanUp()V,org.apache.commons.exec.ExecuteWatchdog.checkException()V,spurious-spec
org.apache.commons.exec.ExecuteWatchdog.cleanUp()V,org.apache.commons.exec.ExecuteWatchdog.ensureStarted()V,spurious-spec
org.apache.commons.exec.ExecuteWatchdog.cleanUp()V,org.apache.commons.exec.ExecuteWatchdog.isWatching()Z,spurious-spec
org.apache.commons.exec.ExecuteWatchdog.cleanUp()V,org.apache.commons.exec.ExecuteWatchdog.killedProcess()Z,spurious-spec
org.apache.commons.exec.ExecuteWatchdog.cleanUp()V,org.apache.commons.exec.ExecuteWatchdog.stop()V,spurious-spec
org.apache.commons.exec.ExecuteWatchdog.destroyProcess()V,org.apache.commons.exec.ExecuteWatchdog.checkException()V,spurious-spec
org.apache.commons.exec.ExecuteWatchdog.ensureStarted()V,org.apache.commons.exec.ExecuteWatchdog.checkException()V,spurious-spec
org.apache.commons.exec.ExecuteWatchdog.killedProcess()Z,org.apache.commons.exec.ExecuteWatchdog.checkException()V,spurious-spec
org.apache.commons.exec.ExecuteWatchdog.setProcessNotStarted()V,org.apache.commons.exec.ExecuteWatchdog.checkException()V,spurious-spec
org.apache.commons.exec.ExecuteWatchdog.setProcessNotStarted()V,org.apache.commons.exec.ExecuteWatchdog.start(Ljava/lang/Process;)V,spurious-spec
org.apache.commons.exec.ExecuteWatchdog.setProcessNotStarted()V,org.apache.commons.exec.ExecuteWatchdog.stop()V,spurious-spec
org.apache.commons.exec.ExecuteWatchdog.setProcessNotStarted()V,org.apache.commons.exec.TimeoutObserver.timeoutOccured(Lorg/apache/commons/exec/Watchdog;)V,spurious-spec
org.apache.commons.exec.ExecuteWatchdog.start(Ljava/lang/Process;)V,org.apache.commons.exec.ExecuteWatchdog.cleanUp()V,true-spec
org.apache.commons.exec.ExecuteWatchdog.start(Ljava/lang/Process;)V,org.apache.commons.exec.ExecuteWatchdog.destroyProcess()V,sometimes-true-spec
org.apache.commons.exec.ExecuteWatchdog.start(Ljava/lang/Process;)V,org.apache.commons.exec.ExecuteWatchdog.ensureStarted()V,true-spec
org.apache.commons.exec.ExecuteWatchdog.start(Ljava/lang/Process;)V,org.apache.commons.exec.ExecuteWatchdog.isWatching()Z,spurious-spec
org.apache.commons.exec.ExecuteWatchdog.start(Ljava/lang/Process;)V,org.apache.commons.exec.ExecuteWatchdog.killedProcess()Z,spurious-spec
org.apache.commons.exec.ExecuteWatchdog.start(Ljava/lang/Process;)V,org.apache.commons.exec.ExecuteWatchdog.timeoutOccured(Lorg/apache/commons/exec/Watchdog;)V,spurious-spec
org.apache.commons.exec.ExecuteWatchdog.start(Ljava/lang/Process;)V,org.apache.commons.exec.TimeoutObserver.timeoutOccured(Lorg/apache/commons/exec/Watchdog;)V,no-break-pass (indirect)
org.apache.commons.exec.ExecuteWatchdog.stop()V,org.apache.commons.exec.ExecuteWatchdog.ensureStarted()V,spurious-spec
org.apache.commons.exec.ExecuteWatchdog.stop()V,org.apache.commons.exec.ExecuteWatchdog.isWatching()Z,true-spec
org.apache.commons.exec.ExecuteWatchdog.stop()V,org.apache.commons.exec.ExecuteWatchdog.killedProcess()Z,spurious-spec
org.apache.commons.exec.ExecuteWatchdog.timeoutOccured(Lorg/apache/commons/exec/Watchdog;)V,org.apache.commons.exec.ExecuteWatchdog.checkException()V,spurious-spec
org.apache.commons.exec.Executor.execute(Lorg/apache/commons/exec/CommandLine;Lorg/apache/commons/exec/ExecuteResultHandler;)V,org.apache.commons.exec.DefaultExecutor.closeProcessStreams(Ljava/lang/Process;)V,no-break-pass (indirect)
org.apache.commons.exec.Executor.execute(Lorg/apache/commons/exec/CommandLine;Lorg/apache/commons/exec/ExecuteResultHandler;)V,org.apache.commons.exec.DefaultExecutor.executeInternal(Lorg/apache/commons/exec/CommandLine;Ljava/util/Map;Ljava/io/File;Lorg/apache/commons/exec/ExecuteStreamHandler;)I,no-break-pass (indirect)
org.apache.commons.exec.Executor.execute(Lorg/apache/commons/exec/CommandLine;Lorg/apache/commons/exec/ExecuteResultHandler;)V,org.apache.commons.exec.DefaultExecutor.getExceptionCaught()Ljava/io/IOException;,no-break-pass (indirect)
org.apache.commons.exec.Executor.execute(Lorg/apache/commons/exec/CommandLine;Lorg/apache/commons/exec/ExecuteResultHandler;)V,org.apache.commons.exec.DefaultExecutor.isFailure(I)Z,no-break-pass (indirect)
org.apache.commons.exec.Executor.execute(Lorg/apache/commons/exec/CommandLine;Lorg/apache/commons/exec/ExecuteResultHandler;)V,org.apache.commons.exec.DefaultExecutor.launch(Lorg/apache/commons/exec/CommandLine;Ljava/util/Map;Ljava/io/File;)Ljava/lang/Process;,no-break-pass (indirect)
org.apache.commons.exec.Executor.setProcessDestroyer(Lorg/apache/commons/exec/ProcessDestroyer;)V,org.apache.commons.exec.DefaultExecutor.execute(Lorg/apache/commons/exec/CommandLine;Ljava/util/Map;Lorg/apache/commons/exec/ExecuteResultHandler;)V,sometimes-true-spec
org.apache.commons.exec.Executor.setProcessDestroyer(Lorg/apache/commons/exec/ProcessDestroyer;)V,org.apache.commons.exec.Executor.execute(Lorg/apache/commons/exec/CommandLine;Lorg/apache/commons/exec/ExecuteResultHandler;)V,sometimes-true-spec
org.apache.commons.exec.Executor.setWatchdog(Lorg/apache/commons/exec/ExecuteWatchdog;)V,org.apache.commons.exec.DefaultExecutor.closeProcessStreams(Ljava/lang/Process;)V,spurious-spec
